cs_id,cs_name,concentration,short_desc
MLWorkingWithData,Working with data,Machine Learning,
MLGradientDescent,Gradient descent,Machine Learning,
MLRegression,Regression,Machine Learning,
MLClustering,Clustering,Machine Learning,
MLNeuralNetworks,Neural networks,Machine Learning,
MLAdvancedDeepLearning,Advanced Deep Learning,Machine Learning,
MLOverfittingUnderfitt,Overfitting/underfitting,Machine Learning,
MLRegularization,Regularization,Machine Learning,
MLLearningTheory,Learning theory,Machine Learning,
MLModelEvaluationTechn,Model evaluation techniques,Machine Learning,
MLNeuralNetworks2,Neural Networks,Machine Learning,
MLRegressionProblems,Regression problems,Machine Learning,
MLClassificationProble,Classification problems,Machine Learning,
MLProbabilisticModels,Probabilistic models,Machine Learning,
MLTopicModels,Topic models,Machine Learning,
MLGraphicalModels,Graphical models,Machine Learning,
MLBiasVarianceTradeoff,Bias-variance tradeoff,Machine Learning,
ALGCharacterizingRunnin,Characterizing Running Times (§3),Algorithms,
ALGProbabilisticAnalysi,Probabilistic Analysis and Randomized Algorithms (§5),Algorithms,
ALGApproximationAlgorit,Approximation Algorithms (§35),Algorithms,
ALGDivideAndConquer44In,"Divide-and-Conquer (§4) [§4 (intro), §4.1, §4.2, §4.4, §4.5, CPP (closest pair of points, §33.4 from 3rd edition)]",Algorithms,
ALGMatrixOperations28,Matrix Operations  (§28),Algorithms,
ALGSummationsAppendixA,Summations (Appendix A),Algorithms,
ALGDynamicProgramming14,"Dynamic Programming (§14) [§14.1, §14.2, §14.3, §14.4, §14.5]",Algorithms,
ALGQuicksort7,Quicksort (§7),Algorithms,
ALGMediansAndOrderStati,Medians and Order Statistics (§9),Algorithms,
ALGHashTables11,Hash Tables (§11),Algorithms,
ALGHeapsort6,Heapsort (§6),Algorithms,
AIProbabilisticReasoni,Probabilistic Reasoning (§13),Artificial Intelligence,
AIMultiagentDecisionMa,Multiagent Decision Making (§17),Artificial Intelligence,
AIProbabilisticProgram,Probabilistic Programming (§18),Artificial Intelligence,
AIReinforcementLearnin,Reinforcement Learning (§23),Artificial Intelligence,
AIProbabilisticReasoni2,Probabilistic Reasoning over Time (§14),Artificial Intelligence,
AILearningFromExamples,Learning from Examples (§19),Artificial Intelligence,
AIComputerVision27,Computer Vision (§27),Artificial Intelligence,
AISearchInComplexEnvir,Search in Complex Environments (§4),Artificial Intelligence,
AIDeepLearning22,Deep Learning (§22),Artificial Intelligence,
AIRobotics26,Robotics (§26),Artificial Intelligence,
AIMakingSimpleDecision,Making Simple Decisions (§15),Artificial Intelligence,
AILearningProbabilisti,Learning Probabilistic Models (§21),Artificial Intelligence,
AIMakingComplexDecisio,Making Complex Decisions (§16),Artificial Intelligence,
CGDefiningStoringRende,Defining/Storing/Rendering (§22) [all],Computer Graphics,
CGSignalProcessingConc,"Signal Processing Concepts (§9)  [§9.1, §9.2, §9.3, §9.4]",Computer Graphics,
CGBlendingFunctionsBzi,"Blending Functions, Bézier/Hermite, Catmull-Rom, Interpolating vs. Approximating, Subdivision (curves and surfaces), Picewise Curves/Splines (§15) [all]",Computer Graphics,
CGComposition20201202,"Composition (§20) [§20.1, §20.2]",Computer Graphics,
CGVectorsCurvesSurface,"Vectors, Curves/Surfaces (§2) [all]",Computer Graphics,
CGTextures111111121131,"Textures (§11) [§11.1, §11.2, §11.3, §11.4]",Computer Graphics,
CGArtisticPrinciplesKe,"Artistic Principles, Keyframing/Interpolation, Physically-Based, Spring-Mass Models, Behavioral models (§16) [all]",Computer Graphics,
CGGlobalIllumination23,Global Illumination (§23) [all],Computer Graphics,
CGPerception19All,Perception (§19) [all],Computer Graphics,
CGAdvancedRayTracing13,Advanced Ray Tracing (§13) [all],Computer Graphics,
